new_url,old_url,interest_links,web_links
phrae2.mol.go.th,phrae.mol.go.th,['http://labourproduct.mol.go.th/phrae'],"['/../link', '/../calendar']"
maehongson2.mol.go.th,maehongson.mol.go.th,"['http://www.mol.go.th/anonymouse/home', 'http://lb.mol.go.th/main.php?filename=index', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/content/workerstation', 'http://www.maehongson.go.th/', 'http://labourproduct.mol.go.th/maehongson', 'https://docs.google.com/forms/d/e/1FAIpQLSeuMmMwQcOUE_aODjvX4SUdoLiUuTUhXR2FiGgcW80HWfTC7Q/viewform?c=0&w=1', 'https://www.facebook.com/mol.maehongson/']","['/../link', '/../calendar']"
lampang2.mol.go.th,lampang.mol.go.th,"['http://www.mol.go.th/', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.oic.go.th/INFOCENTER22/2238/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/content/workerstation', 'http://www.labour.go.th/th%20/index.php?option=com_content&view=article&id=59:employee1&catid=45:employeecategory&Itemid=93', 'http://www.mol.go.th/anonymouse/complaint', 'https://goo.gl/forms/Jq68rykwbA5Fxs1l1', 'https://goo.gl/forms/2zub629Vn3FZBAeD2', 'http://www.lampang.go.th/', 'http://labourproduct.mol.go.th/lampang', 'http://www.doe.go.th/lampang/', 'http://www.sso.go.th/lampang/', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A5%E0%B8%B3%E0%B8%9B%E0%B8%B2%E0%B8%87-256949887650947/', 'http://www.dsd.go.th/lampang', 'http://www.oshthai.org/index.php%3Foption%3Dcom_content%26view%3Darticle%26id%3D71%26lang%3Dth', 'http://line.me/ti/p/~labour-lp', 'https://twitter.com/lampang_labour']","['/system/files/mots1-en_resize.png', 'www.facebook.com/LabourLP', 'mailto:lampangmol@gmail.com']"
lamphun2.mol.go.th,lamphun.mol.go.th,"['http://labourproduct.mol.go.th/lamphun', 'http://www.lamphun.mol.go.th/node/1391', 'http://lpndoe.com/', 'http://www.sso.go.th/lamphun/', 'http://lamphun.labour.go.th/', 'http://www.dsd.go.th/lamphun', 'http://www.lamphun.mol.go.th/node/1411', 'http://123.242.167.133/index.jsp', 'http://www.lamphun.go.th/officialwebsite/2013/?page_id=48', 'http://www.industry.go.th/lamphun/', 'http://www.lamphun.go.th/damrongtam/main.php', 'http://www.lamphun.go.th/officialwebsite/2013/?p=50596', 'http://www.damrongdhama.moi.go.th/', 'https://www.dopa.go.th/main/web_index', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.mol.go.th', 'http://lb.mol.go.th/', 'https://www.bot.or.th/Thai/MonetaryPolicy/Northern/EconomicReport/Pages/default.aspx', 'http://www.price.moc.go.th/', 'http://www.dbd.go.th/more_news.php?cid=36', 'http://www.mol.go.th/content/workerstation', 'https://www.facebook.com/lpndoee']",['/../calendar']
sukhothai2.mol.go.th,sukhothai.mol.go.th,['http://labourproduct.mol.go.th/sukhothai'],"['/../link', '/../calendar']"
uttaradit2.mol.go.th,uttaradit.mol.go.th,"['https://www.facebook.com/utdlabour', 'http://uttaradit.mol.go.th/node/5208', 'http://labourproduct.mol.go.th/uttaradit']","['/../link', '/../calendar']"
uthaithani2.mol.go.th,uthaithani.mol.go.th,['http://labourproduct.mol.go.th/uthaithani'],"['/../link', '/../calendar']"
krabi2.mol.go.th,krabi.mol.go.th,"['https://docs.google.com/forms/d/e/1FAIpQLSdfFhIHvIpT-EBpfxsFfRp4ijtjO_JFkqL8VRaQz8ct1WzLdw/viewform?c=0&w=1', 'https://docs.google.com/forms/d/e/1FAIpQLSdrQm-TuEi7S43bx1Mho1RmByyWuyxipLyHihApxL6pAGjlcw/viewform?c=0&w=1', 'http://www.mol.go.th', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.labour.go.th/th/', 'http://www.doe.go.th/prd/', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://intranet.mol.go.th/login/login.php', 'http://lb.mol.go.th/', 'http://job.doe.go.th/main.php', 'http://krabi.mol.go.th/sites/krabi.mol.go.th/files/maatrkaarbrrethaaphlkrathbkhaacchaangkhantam_15_maatraa_97-2003.doc', 'http://labourproduct.mol.go.th/krabi', 'http://krabi.mol.go.th/', 'http://www.doe.go.th/krabi/', 'http://www.sso.go.th/krabi/', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B5%E0%B9%88-1085578691527069/', 'http://www.dsd.go.th/krabi', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B5%E0%B9%88-1515007955451604/?ref=aymt_homepage_panel', 'http://krabi.mol.go.th/node/386', 'https://mobile.twitter.com/krabilabour', 'http://krabi.mol.go.th/node/386', 'http://www.histats.com', 'http://www.histats.com']",[]
chumphon2.mol.go.th,chumphon.mol.go.th,['http://labourproduct.mol.go.th/chumphon'],"['/../link', '/../calendar']"
trang2.mol.go.th,trang.mol.go.th,['http://labourproduct.mol.go.th/trang'],"['/../link', '/../calendar']"
nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th,"['http://nakhonsithammarat.mol.go.th', 'http://www.mol.go.th/', 'http://www.doe.go.th/prd/', 'http://www.labour.go.th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/uploads/html/index.html', 'http://labourproduct.mol.go.th/nakhonsithammarat']","['/sites/nakhonsithammarat.mol.go.th/files/khuumuuekaaraihbrikaarprachaachn_lngewb_laasud_3.pdf', '/../link', '/../calendar']"
narathiwat2.mol.go.th,narathiwat.mol.go.th,"['http://doe.go.th/prd/narathiwat', 'http://www.dsd.go.th/narathiwat', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%99%E0%B8%A3%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%A7%E0%B8%B2%E0%B8%AA-712877822191800/', 'http://www.sso.go.th/narathiwat/', 'http://labourproduct.mol.go.th/narathiwat', 'http://www.mol.go.th/anonymouse/home', 'http://narathiwat.mol.go.th/node/448', 'http://nlic.mol.go.th/th/index', 'http://www.opm.go.th/opmportal/index.asp', 'http://www.sbpac.go.th/index.php', 'http://www.southpeace.go.th/th/', 'http://www.skthai.org/', 'http://www.narathiwat.go.th/', 'http://www.narathiwat.go.th/dumrongtham/index.php/component/content/featured?id=featured', 'http://www.egov.go.th/th/index.php', 'http://www.oie.go.th/sites/default/files/attachments/announcement/Information_law2540%5B1%5D_0.pdf']",['/../calendar']
pattani2.mol.go.th,pattani.mol.go.th,"['http://www.pattani.mol.go.th/node/783', 'http://www.pattani.mol.go.th/node/393', 'http://labourproduct.mol.go.th/pattani', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th/prd/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.labour.go.th/th/', 'http://www.sbpac.go.th/index.php', 'http://www.pattani.go.th', 'https://twitter.com/pattanilabour ', 'https://www.facebook.com/?stype=lo&jlou=AfeUfO1iOgCIKcuOvhrf9lXJJX4somI2Bw-21q1onPD-d4KCKibiv7zJr5uo-5tLWg2RYfv4VN-TnbIoLT-fU5cU1Ln0Fw_L_VD4SeEz4M0wNw&smuh=25074&lh=Ac9NiNcdFy42RioG#!/profile.php?id=100006600990128&fref=ts']",['/../calendar']
phangnga2.mol.go.th,phangnga.mol.go.th,[],[]
phatthalung2.mol.go.th,phatthalung.mol.go.th,"['http://labourproduct.mol.go.th/phatthalung', 'http://www.mol.go.th', 'http://www.doe.go.th/', 'http://www.labour.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.dsd.go.th/', 'http://www.doe.go.th/phatthalung/', 'http://www.sso.go.th/wprp/phatthalung/home.jsp', 'http://phatthalung.labour.go.th/web/index1.html', 'http://www.dsd.go.th/phatthalung', 'http://www.facebook.com/profile.php?id=100011400607458', 'https://twitter.com/Molpt93000_Taco', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/news/46084', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.prd.go.th/more_news.php?cid=428', 'http://www.thaigov.go.th/index.php', 'http://www.phatthalung.go.th/old/damrongtham/', 'https://docs.google.com/forms/d/e/1FAIpQLScldp-uYTe6pSWvR_h3PCT4IkRbT1DwjTdVHa0R6nH_gMwXAA/viewform']",['/../calendar']
phuket2.mol.go.th,phuket.mol.go.th,"['http://labourproduct.mol.go.th/phuket', 'http://www.mol.go.th', 'http://intranet.mol.go.th/login/login.php', 'https://webmail.mol.go.th/zimbra/?zinitmode=http', 'http://www.facebook.com/pages/Ministry-of-Labour-Kingdom-of-Thailand/318275548214929', 'http://lb.mol.go.th/', 'https://goo.gl/YkcwJC', 'https://goo.gl/ppJyEj']","['/../link', '/../calendar']"
yala2.mol.go.th,yala.mol.go.th,"['http://www.mol.go.th/', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'http://www.doe.go.th/prd/', 'http://www.sso.go.th', 'http://smartjob.doe.go.th/', 'http://labourproduct.mol.go.th/yala', 'http://www.opm.go.th/', 'http://www.sbpac.go.th/', 'http://www.yala.go.th/', 'http://www.damrongthamyala.go.th/drmyala/pre_news.php?n_id=15', 'https://www.info.go.th/', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/content/Asean2012']","['/../link', '/../calendar']"
ranong2.mol.go.th,ranong.mol.go.th,['http://labourproduct.mol.go.th/ranong'],"['/../link', '/../calendar']"
songkhla2.mol.go.th,songkhla.mol.go.th,"['http://www.mol.go.th/anonymouse/home', 'http://intranet.mol.go.th/login/login.php', 'http://www.mol.go.th/anonymouse/content/information_system', 'http://songkhla.doe.go.th/frontpage', 'http://www.sso.go.th/songkhla/', 'http://songkhla.labour.go.th/index.php/2015-11-12-08-48-37', 'http://www.dsd.go.th/songkhla?region_id=52', 'https://docs.google.com/forms/d/1F_XASeIOx_o39uPVIp_yzgXNYkLd4l4cdtMrfZrV3b4/viewform', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.damrongthamsongkhla.go.th/frontpage', 'http://www.mol.go.th/anonymouse/news/46084', 'http://songkhla.mol.go.th/node/7770', 'http://labourproduct.mol.go.th/songkhla', 'http://www.mol.go.th/videos', 'http://songkhla.mol.go.th/node/7770']",[]
satun2.mol.go.th,satun.mol.go.th,"['http://labourproduct.mol.go.th/satun', 'http://www.satun.mol.go.th', 'http://www.doe.go.th/satun/', 'http://satun.labour.go.th/', 'http://www.dsd.go.th/satun', 'http://www.sso.go.th/satun/', 'http://www.thaigov.go.th/landing', 'http://www.mol.go.th/anonymouse/home', 'https://www.egov.go.th/th/index.php', 'http://lb.mol.go.th/main.php?filename=index', 'http://counterservice.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/news/46084', 'http://www.sso.go.th/wprp/ayutthaya/content.jsp?id=10664&cat=676&lang=th', 'http://smartjob.doe.go.th/', 'https://www.info.go.th/#!/th/search///', 'http://www.prd.go.th/more_news.php?cid=428', 'http://damrongthamsatun.blogspot.com/']",[]
suratthani2.mol.go.th,suratthani.mol.go.th,"['http://www.suratthani.mol.go.th/node/24840', 'https://www.nacc.go.th/we/', 'http://www.suratthani.mol.go.th/sites/suratthani.mol.go.th/files/khuumuuephlpraoychnthabchn.pdf', 'http://www.suratthani.mol.go.th/sites/suratthani.mol.go.th/files/khuumuuephlpraoychnthabchn.pdf', 'http://www.sru.ac.th', 'http://www.suratthani.mol.go.th/node/24777', 'http://labourproduct.mol.go.th/suratthani', 'http://www.suratthani.go.th/home/', 'https://www.doe.go.th/prd/suratthani', 'http://www.sso.go.th/suratthani/', 'http://suratthani.labour.go.th/', 'http://www.dsd.go.th/suratthani', 'https://www.govchannel.go.th/?AspxAutoDetectCookieSupport=1', 'http://lb.mol.go.th/main.php?filename=index', 'http://nlic.mol.go.th/', 'https://www.govchannel.go.th/?AspxAutoDetectCookieSupport=1', 'http://www.thaigov.go.th/index.php', 'http://www.mol.go.th/anonymouse/home', 'http://www.doe.go.th', 'http://www.labour.go.th/th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.dsd.go.th/', 'http://www.suratthani.mol.go.th/node/24775']","[' http://123.242.172.6/dumrong/', '/../calendar']"
